"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 05 02:34:11 UTC 2026","Mon Jan 05 02:34:13 UTC 2026","1556","","tests.functional.SidebarTest","","tests.functional.SidebarTest","successfulLogoutFromSidebar","Successful logout from sidebar","Verify that a logged in user is able to log out using the sidebar menu"
"passed","Mon Jan 05 02:33:53 UTC 2026","Mon Jan 05 02:34:03 UTC 2026","10039","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","addSingleProductToCart","Add single product to cart from products page","Verify that a logged in user can add a single product to the cart and the cart badge is updated accordingly"
"passed","Mon Jan 05 02:34:18 UTC 2026","Mon Jan 05 02:34:19 UTC 2026","814","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulLogin","Unsuccessful login with invalid credentials 2 => username = , password= , url = https://www.saucedemo.com/, error = Epic sadface: Username is required","Verify that user is unable to log in using invalid credentials."
"passed","Mon Jan 05 02:34:07 UTC 2026","Mon Jan 05 02:34:11 UTC 2026","4621","","tests.functional.SidebarTest","","tests.functional.SidebarTest","successfulAboutSiteFromSidebar","Successful navigated to about site","Verify that a logged in user is able to reach about site using the sidebar menu"
"passed","Mon Jan 05 02:34:06 UTC 2026","Mon Jan 05 02:34:07 UTC 2026","828","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","removeProductFromCart","Remove product from cart from products page","Verify that user is able to remove a product from the cart and cart badge is updated"
"passed","Mon Jan 05 02:34:21 UTC 2026","Mon Jan 05 02:34:22 UTC 2026","610","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulDirectInventoryAccess","Unsuccessful login without login process","Verify that inventory page cannot be accessed without login process"
"passed","Mon Jan 05 02:34:17 UTC 2026","Mon Jan 05 02:34:18 UTC 2026","861","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulLogin","Unsuccessful login with invalid credentials 1 => username = invalid, password= invalid, url = https://www.saucedemo.com/, error = Epic sadface: Username and password do not match any user in this service","Verify that user is unable to log in using invalid credentials."
"passed","Mon Jan 05 02:34:03 UTC 2026","Mon Jan 05 02:34:04 UTC 2026","845","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","cartStateShouldPersistAfterNavigation","Cart state should persist after navigation","Verify that products added to the cart remain in the cart after navigating between pages"
"passed","Mon Jan 05 02:34:19 UTC 2026","Mon Jan 05 02:34:20 UTC 2026","819","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulLogin","Unsuccessful login with invalid credentials 4 => username =  , password=  , url = https://www.saucedemo.com/, error = Epic sadface: Username and password do not match any user in this service","Verify that user is unable to log in using invalid credentials."
"passed","Mon Jan 05 02:34:04 UTC 2026","Mon Jan 05 02:34:05 UTC 2026","827","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","sameProductCannotBeAddedTwice","Same product cannot be added twice to the cart","Verify that clicking Add to Cart multiple times for the same product does not increase cart count"
"passed","Mon Jan 05 02:34:13 UTC 2026","Mon Jan 05 02:34:15 UTC 2026","2022","","tests.functional.SidebarTest","","tests.functional.SidebarTest","successfulDisplaysSidebarItemsAndCloseThePanel","Sidebar menu displays items and can be closed","Verify that the sidebar menu displays all items and can be closed successfully"
"passed","Mon Jan 05 02:34:23 UTC 2026","Mon Jan 05 02:34:24 UTC 2026","800","","tests.ui.LoginPageUiTest","","tests.ui.LoginPageUiTest","uiVerification","UI matches design specification","Verify that the login page visual properties match the approved UI specification:
- background color
- font size and colors
"
"passed","Mon Jan 05 02:34:19 UTC 2026","Mon Jan 05 02:34:19 UTC 2026","845","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","unSuccessfulLogin","Unsuccessful login with invalid credentials 3 => username = locked_out_user, password= secret_sauce, url = https://www.saucedemo.com/, error = Epic sadface: Sorry, this user has been locked out.","Verify that user is unable to log in using invalid credentials."
"passed","Mon Jan 05 02:34:22 UTC 2026","Mon Jan 05 02:34:23 UTC 2026","1590","","tests.ui.SidebarUiTest","","tests.ui.SidebarUiTest","uiVerification","UI matches design specification","Verify that the sidebar visual properties match the approved UI specification:
- background color
- font size and colors
"
"passed","Mon Jan 05 02:34:20 UTC 2026","Mon Jan 05 02:34:21 UTC 2026","817","","tests.functional.LoginPageTest","","tests.functional.LoginPageTest","successfulLoginWithValidCredentials","Successful login with valid credentials","Verify that a standard user is able to log in using valid credentials"
"passed","Mon Jan 05 02:34:05 UTC 2026","Mon Jan 05 02:34:06 UTC 2026","820","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","addProductToCartFromProductDetailsPage","Add product to cart from product details page","Verify that user can add a product to the cart from the inventory item details page"
"passed","Mon Jan 05 02:34:04 UTC 2026","Mon Jan 05 02:34:04 UTC 2026","842","","tests.functional.AddToCartTest","","tests.functional.AddToCartTest","addMultipleProductsToCart","Add multiple products to cart","Verify that user can add multiple different products to the cart and cart badge shows correct count"
"passed","Mon Jan 05 02:34:15 UTC 2026","Mon Jan 05 02:34:17 UTC 2026","1746","","tests.functional.SidebarTest","","tests.functional.SidebarTest","successfulAllItemsFromSidebar","Successful navigated to inventory page","Verify that a logged in user is able to reach inventory page using the sidebar menu"
